Season,Team,Conference,Season record,Conf. Seed,NBA Seed,Last 20 Games record,ORtg Rank,DRtg Rank,2 seasons ago result,Last season result
2025-2026,Detroit Pistons,East,0.75,1,2,0.7,12,2,No Playoff,First Round
2025-2026,Boston Celtics,East,0.622,2,6,0.65,2,13,NBA Champion,Conference Semi-Final
2025-2026,Toronto Raptors,East,0.604,3,8,0.6,19,4,No Playoff,No Playoff
2025-2026,New York Knicks,East,0.6,4,9,0.45,3,17,Conference Semi-Final,Conference Final
2025-2026,Cleveland Cavaliers,East,0.574,5,12,0.6,10,14,Conference Semi-Final,Conference Semi-Final
2025-2026,Philadelphia 76ers,East,0.545,6,14,0.5,15,11,First Round,No Playoff
2025-2026,Miami Heat,East,0.532,7,15,0.5,20,6,First Round,First Round
2025-2026,Orlando Magic,East,0.523,8,16,0.45,18,15,First Round,First Round
2025-2026,Chicago Bulls,East,0.511,9,17,0.65,16,23,No Playoff,No Playoff
2025-2026,Atlanta Hawks,West,0.468,10,19,0.35,22,16,No Playoff,No Playoff
2025-2026,Oklahoma City Thunder,West,0.787,1,1,0.6,5,1,Conference Semi-Final,NBA Champion
2025-2026,San Antonio Spurs,West,0.674,2,3,0.6,9,3,No Playoff,No Playoff
2025-2026,Denver Nuggets,West,0.674,3,4,0.55,1,24,Conference Semi-Final,Conference Semi-Final
2025-2026,Houston Rockets,West,0.628,4,5,0.55,4,9,No Playoff,First Round
2025-2026,Los Angeles Lakers,West,0.614,5,7,0.5,7,25,First Round,First Round
2025-2026,Phoenix Suns,West,0.587,6,10,0.65,14,7,First Round,No Playoff
2025-2026,Minnesota Timberwolves,West,0.587,7,11,0.5,8,10,Conference Final,Conference Final
2025-2026,Golden State Warriors,West,0.553,8,13,0.65,13,5,No Playoff,Conference Semi-Final
2025-2026,Portland Trail Blazers,West,0.5,9,18,0.65,21,18,No Playoff,No Playoff
2025-2026,Los Angeles Clippers,West,0.467,10,20,0.75,11,21,First Round,First Round
